,id,Gender,Customer Type,Age,Price,NewUsed,Category,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Satisfaction
0,139Q880b,Female,Premium,60.0,37.66,New,Entertainment,4,4,2,4,3,5,3,4,2,0,0,Not Satisfied
1,513F768p,Female,Premium,57.0,331.9,New,Technology,1,1,3,5,5,5,4,5,5,0,0,Satisfied
2,933T167j,Female,Premium,38.0,311.06,New,Technology,3,3,5,5,5,4,1,5,5,0,0,Satisfied
3,193N829g,Male,Premium,,85.14,New,Technology,5,5,3,2,5,4,5,1,3,0,0,Not Satisfied
4,661I898j,Male,Premium,37.0,23.15,New,Entertainment,1,1,5,1,3,3,2,2,5,0,0,Satisfied
5,513X519a,Female,Premium,58.0,86.06,New,Technology,3,3,4,5,5,5,5,1,4,0,0,Satisfied
6,768U482f,Male,Premium,46.0,131.16,New,Entertainment,5,5,3,2,2,2,5,2,1,1,1,Satisfied
7,386C787x,Male,Premium,68.0,353.95,New,Other,4,4,5,1,2,1,4,1,2,1,1,Not Satisfied
8,596Q928a,Female,Premium,31.0,87.41,New,Home/Kitchen,2,4,4,1,1,2,4,3,4,0,0,Satisfied
9,021Y752p,Male,Premium,64.0,61.17,New,Other,4,2,5,4,4,4,3,4,5,0,0,Satisfied
10,396Q116w,Female,Premium,51.0,163.84,New,Technology,4,4,3,5,5,5,5,5,5,0,0,Satisfied
11,898T598q,Male,Not Premium,37.0,9.45,New,Technology,1,3,3,2,1,4,1,4,3,0,0,Not Satisfied
12,862D360t,Male,Premium,36.0,85.18,New,Entertainment,4,5,4,4,4,4,4,5,4,0,0,Not Satisfied
13,045Z435w,Male,Premium,,386.3,New,Other,4,4,3,4,4,4,3,4,3,0,0,Not Satisfied
14,671M859w,Female,Premium,25.0,248.41,New,Entertainment,1,1,4,5,4,5,4,4,4,0,0,Satisfied
15,606O849x,Male,Premium,24.0,47.32,New,Technology,4,4,1,3,3,4,3,4,1,0,0,Satisfied
16,357O477q,Female,Premium,,218.93,Used,Home/Kitchen,1,3,3,3,2,3,5,3,5,0,0,Not Satisfied
17,571Z814s,Male,Not Premium,38.0,17.8,New,Entertainment,2,4,5,1,5,4,1,4,5,0,0,Not Satisfied
18,800Z538z,Male,Premium,65.0,99.98,New,Technology,5,3,3,5,1,1,3,5,2,1,1,Not Satisfied
19,680M47g7,Male,Premium,66.0,262.63,New,Home/Kitchen,3,4,4,4,2,3,3,3,3,0,0,Not Satisfied
20,910U308r,Female,Premium,43.0,285.95,New,Home/Kitchen,3,3,5,4,4,4,5,4,4,0,0,Satisfied
21,204Y111t,Female,Premium,34.0,208.75,New,Home/Kitchen,5,5,2,4,4,4,5,4,5,0,0,Satisfied
22,992Z366z,Male,Premium,59.0,86.26,New,Technology,5,3,5,5,5,5,4,5,3,0,0,Satisfied
